,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
8,ShorterThan1.2Kms,split inputs,single step,3,MLPRegressor(random_state=5),0.59132012,0.59140294,105.5680531,47.60010647,0.13982790000591194,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,ShorterThan1.2Kms,split inputs,single step,4,KNeighborsRegressor(),0.68110848,0.68119824,90.26300173,37.83531329,0.1390153999964241,"{'n_neighbors': 25, 'weights': 'distance'}"
10,ShorterThan1.2Kms,split inputs,single step,4,DecisionTreeRegressor(random_state=5),0.68939141,0.68947926,89.42351563,38.44973938,0.0018149999959859997,"{'criterion': 'mse', 'max_depth': 10}"
11,ShorterThan1.2Kms,split inputs,single step,4,MLPRegressor(random_state=5),0.62457809,0.62468087,98.36978947,41.27792082,0.10109340000053635,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,ShorterThan1.2Kms,split inputs,single step,5,KNeighborsRegressor(),0.70330121,0.70340703,85.96430078,35.62081155,0.1604150999992271,"{'n_neighbors': 20, 'weights': 'distance'}"
13,ShorterThan1.2Kms,split inputs,single step,5,DecisionTreeRegressor(random_state=5),0.68736361,0.68747401,89.11944749,38.14992725,0.0016733000011299737,"{'criterion': 'mse', 'max_depth': 10}"
14,ShorterThan1.2Kms,split inputs,single step,5,MLPRegressor(random_state=5),0.6322372,0.63236347,100.2887157,43.5241866,0.10968920000595972,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,ShorterThan1.2Kms,split inputs,single step,6,KNeighborsRegressor(),0.70523735,0.70536366,85.568691,35.38639224,0.16692029999830993,"{'n_neighbors': 20, 'weights': 'distance'}"
16,ShorterThan1.2Kms,split inputs,single step,6,DecisionTreeRegressor(random_state=5),0.6798731,0.68000817,89.53354872,38.19989448,0.001839699994889088,"{'criterion': 'mse', 'max_depth': 10}"
17,ShorterThan1.2Kms,split inputs,single step,6,MLPRegressor(random_state=5),0.65442437,0.65456822,97.8329554,42.47588273,0.08941870000126073,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,ShorterThan1.2Kms,split inputs,single step,7,KNeighborsRegressor(),0.72523411,0.72537341,82.05610103,33.73575863,0.23558080000657355,"{'n_neighbors': 25, 'weights': 'distance'}"
19,ShorterThan1.2Kms,split inputs,single step,7,DecisionTreeRegressor(random_state=5),0.69429833,0.69445009,87.22802495,37.06043155,0.001799500001652632,"{'criterion': 'mse', 'max_depth': 10}"
20,ShorterThan1.2Kms,split inputs,single step,7,MLPRegressor(random_state=5),0.67569954,0.67585879,91.56187784,38.91784661,0.07764399999723537,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,ShorterThan1.2Kms,split inputs,single step,8,KNeighborsRegressor(),0.72544582,0.72560492,82.02982511,33.72226295,0.3778512999997474,"{'n_neighbors': 25, 'weights': 'distance'}"
