,dataset,features version,pipeline,name,adjusted_r2,r2,mae,mape,time,params
2,mBackground,inputs count,two steps,MLPRegressor(random_state=5),0.87719647,0.8783515,976.61713696,40.56029181,0.005231800023466349,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,inputs count,two steps clf,KNeighborsRegressor(),0.93683862,0.93745227,670.4453942,17.91389122,0.7371598999889102,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mBackground,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.91095147,0.91173972,720.2682603,19.6541318,0.001580699987243861,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,inputs count,two steps clf,MLPRegressor(random_state=5),0.86579292,0.86693293,991.26639401,41.16869618,0.008782200020505115,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,mBackground,split inputs,single step,KNeighborsRegressor(),0.93920828,0.93982348,673.00666141,17.98232672,0.7672609000001103,"{'n_neighbors': 25, 'weights': 'distance'}"
1,mBackground,split inputs,single step,DecisionTreeRegressor(random_state=5),0.91325566,0.91404589,730.47367621,19.93260942,0.0023917000216897577,"{'criterion': 'mae', 'max_depth': 10}"
2,mBackground,split inputs,single step,MLPRegressor(random_state=5),0.86798288,0.86912577,1005.31155799,41.75201172,0.00711620002402924,"{'activation': 'relu', 'hidden_layer_sizes': (100,)}"
0,mBackground,split inputs,two steps,KNeighborsRegressor(),0.95141799,0.95204119,659.54652818,17.62268018,0.7424534000165295,"{'n_neighbors': 5, 'weights': 'uniform'}"
1,mBackground,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.92512798,0.92592849,708.55946592,19.33463113,0.0023139000113587826,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,split inputs,two steps,MLPRegressor(random_state=5),0.87926666,0.88042441,975.15221125,40.49945137,0.010527700011152774,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,split inputs,two steps clf,KNeighborsRegressor(),0.93904955,0.93966465,669.4397261,17.88702039,0.7564043000165839,"{'n_neighbors': 5, 'weights': 'uniform'}"
1,mBackground,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.91310132,0.91389142,719.18785791,19.6246506,0.002790900005493313,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,split inputs,two steps clf,MLPRegressor(random_state=5),0.86783619,0.86897889,989.77949442,41.10694314,0.009650099993450567,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,inputs count + split args,single step,KNeighborsRegressor(),0.94953957,0.95016154,671.66064809,17.94636206,0.7379000000073574,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,inputs count + split args,single step,DecisionTreeRegressor(random_state=5),0.92330147,0.9241004,729.01272885,19.8927442,0.0016916999884415418,"{'criterion': 'mae', 'max_depth': 10}"
2,mBackground,inputs count + split args,single step,MLPRegressor(random_state=5),0.88360657,0.88477003,993.24781929,41.25098758,0.00898589999997057,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,inputs count + split args,two steps,KNeighborsRegressor(),0.96188359,0.96251364,658.22743513,17.58743482,0.6448375000036322,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.93530439,0.9361137,707.14234699,19.29596187,0.001680999994277954,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,inputs count + split args,two steps,MLPRegressor(random_state=5),0.89509346,0.89627204,963.45038472,40.01345795,0.0053425999940373,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,inputs count + split args,two steps clf,KNeighborsRegressor(),0.9493791,0.95000096,668.10084665,17.85124634,0.7379141999990679,"{'n_neighbors': 25, 'weights': 'distance'}"
1,mBackground,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.92314543,0.92394423,717.74948219,19.5854013,0.0020413000020198524,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.88345724,0.88462051,977.90214049,40.61365982,0.010326999996323138,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,split inputs and args,single step,KNeighborsRegressor(),0.95178049,0.95240392,670.65315712,17.91944252,0.7242581000027712,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.92548046,0.92628128,727.91920976,19.86290508,0.0017072999908123165,"{'criterion': 'mae', 'max_depth': 10}"
2,mBackground,split inputs and args,single step,MLPRegressor(random_state=5),0.88569188,0.88685809,991.75794757,41.1891111,0.00641540001379326,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,split inputs and args,two steps,KNeighborsRegressor(),0.96415363,0.96478517,657.24009397,17.56105367,0.6384268999972846,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.93751171,0.93832293,706.08163347,19.26701793,0.0016796999843791127,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,split inputs and args,two steps,MLPRegressor(random_state=5),0.89720588,0.89838725,962.00520914,39.95343777,0.005885799997486174,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,split inputs and args,two steps clf,KNeighborsRegressor(),0.95161963,0.95224297,667.09869538,17.82446948,0.740423599985661,"{'n_neighbors': 25, 'weights': 'distance'}"
1,mBackground,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.92532406,0.92612474,716.67285797,19.5560232,0.0018594000139273703,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.8855422,0.88670821,976.43528728,40.55273933,0.009290899994084612,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,mProject,prev,single step,KNeighborsRegressor(),0.70321999,0.70567576,3028.70357326,15.73510755,0.40192239999305457,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProject,prev,single step,DecisionTreeRegressor(random_state=5),0.63315402,0.63618957,3334.89277781,17.12015123,0.0016334999818354845,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,prev,single step,MLPRegressor(random_state=5),0.46187714,0.46632996,4342.55084419,21.94450641,0.004691199981607497,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,prev,two steps,KNeighborsRegressor(),0.73838099,0.74095955,2907.55543033,15.10570325,0.4942174000025261,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProject,prev,two steps,DecisionTreeRegressor(random_state=5),0.67747481,0.68072284,3134.79921114,16.09294215,0.0014642000023741275,"{'criterion': 'mae', 'max_depth': 10}"
2,mProject,prev,two steps,MLPRegressor(random_state=5),0.60895736,0.61478174,3355.72734618,17.41211841,0.006221399991773069,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,prev,two steps clf,KNeighborsRegressor(),0.72431659,0.72684603,2937.84246607,15.26305432,0.4220186000165995,"{'n_neighbors': 15, 'weights': 'distance'}"
1,mProject,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.65848019,0.66163715,3201.4970667,16.43534518,0.0019477999885566533,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,prev,two steps clf,MLPRegressor(random_state=5),0.54806162,0.55330357,3657.74280734,18.97920906,0.006242100003873929,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,inputs count,single step,KNeighborsRegressor(),0.73838099,0.74095955,2907.55543033,15.10570325,0.4055403000093065,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProject,inputs count,single step,DecisionTreeRegressor(random_state=5),0.66481173,0.66799905,3201.4970667,16.43534518,0.001909899991005659,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,inputs count,single step,MLPRegressor(random_state=5),0.484971,0.48964645,4168.84881042,21.06672616,0.005734000005759299,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,inputs count,two steps,KNeighborsRegressor(),0.77530004,0.77800752,2791.25321312,14.50147512,0.41723769999225624,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProject,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.71134855,0.71475898,3009.4072427,15.44922447,0.0017753999854903668,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,inputs count,two steps,MLPRegressor(random_state=5),0.65158437,0.65781646,3087.26915849,16.01914893,0.005050500010838732,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,inputs count,two steps clf,KNeighborsRegressor(),0.76053242,0.76318833,2820.32876742,14.65253215,0.47819260001415387,"{'n_neighbors': 15, 'weights': 'distance'}"
1,mProject,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.69140419,0.69471901,3073.43718403,15.77793137,0.0018845000013243407,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,inputs count,two steps clf,MLPRegressor(random_state=5),0.59945762,0.60519114,3303.37799958,17.14048936,0.004192799999145791,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,split inputs,single step,KNeighborsRegressor(),0.74233871,0.74493109,2900.28654176,15.06793899,0.4388535000034608,"{'n_neighbors': 25, 'weights': 'distance'}"
1,mProject,split inputs,single step,DecisionTreeRegressor(random_state=5),0.66837512,0.67157953,3193.49332403,16.39425681,0.0019272000063210726,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,split inputs,single step,MLPRegressor(random_state=5),0.48757044,0.49227096,4158.4266884,21.01405934,0.003702199988765642,"{'activation': 'relu', 'hidden_layer_sizes': (100,)}"
0,mProject,split inputs,two steps,KNeighborsRegressor(),0.77945564,0.78217764,2784.27508009,14.46522143,0.4243525000056252,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProject,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.71516137,0.71859009,3001.88372459,15.41060141,0.002608199982205406,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,split inputs,two steps,MLPRegressor(random_state=5),0.69719528,0.70386361,2840.28762581,14.73761702,0.007660099974600598,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,mProject,split inputs,two steps clf,KNeighborsRegressor(),0.76460887,0.76727902,2813.2779455,14.61590082,0.4585918999800924,"{'n_neighbors': 5, 'weights': 'distance'}"
