,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
13,mDiffFit,split inputs,single step,5,DecisionTreeRegressor(random_state=5),0.68668839,0.68688504,358.99978013,72.28679535,0.0015918000008241506,"{'criterion': 'mse', 'max_depth': 10}"
14,mDiffFit,split inputs,single step,5,MLPRegressor(random_state=5),0.69743192,0.69762471,412.02547183,90.61420848,0.052641800000856165,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mDiffFit,split inputs,single step,6,KNeighborsRegressor(),0.81335256,0.81353394,317.00481446,58.76921543,0.13373310000133642,"{'n_neighbors': 10, 'weights': 'distance'}"
16,mDiffFit,split inputs,single step,6,DecisionTreeRegressor(random_state=5),0.50101211,0.50132812,368.10013156,72.21391187,0.0015194999996310798,"{'criterion': 'mse', 'max_depth': 10}"
17,mDiffFit,split inputs,single step,6,MLPRegressor(random_state=5),0.701713,0.70194251,401.97571825,87.15143821,0.034430100000463426,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mDiffFit,split inputs,single step,7,KNeighborsRegressor(),0.73195082,0.73220337,355.61195632,68.68324545,0.1645038000006025,"{'n_neighbors': 10, 'weights': 'distance'}"
19,mDiffFit,split inputs,single step,7,DecisionTreeRegressor(random_state=5),0.51525413,0.51561564,470.06841076,114.87575869,0.000840000000607688,"{'criterion': 'mse', 'max_depth': 5}"
20,mDiffFit,split inputs,single step,7,MLPRegressor(random_state=5),0.67596409,0.6762448,434.90031705,108.38849804,0.05179380000117817,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,mDiffFit,split inputs,single step,8,KNeighborsRegressor(),0.7608537,0.76112572,321.12538019,59.2301557,0.1358260999986669,"{'n_neighbors': 5, 'weights': 'distance'}"
22,mDiffFit,split inputs,single step,8,DecisionTreeRegressor(random_state=5),0.48437371,0.48480461,481.57014594,121.10911219,0.0010674999975890387,"{'criterion': 'mse', 'max_depth': 5}"
23,mDiffFit,split inputs,single step,8,MLPRegressor(random_state=5),0.71357998,0.71387916,396.28227182,90.87683119,0.028240899999218527,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,inputs count + split args,single step,1,KNeighborsRegressor(),0.00518115,0.00525261,753.03500359,231.94011444,0.04594599999836646,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mDiffFit,inputs count + split args,single step,1,DecisionTreeRegressor(random_state=5),0.04011905,0.040188,744.8303678,231.43919306,0.0006076999998185784,"{'criterion': 'mse', 'max_depth': 5}"
